,Amount.Requested,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,ho_mort,ho_rent
32,35000.0,16.49,60,4,7.45,10416.67,720-724,7.0,31414.0,0.0,8,1,0
33,16000.0,15.8,60,1,11.94,5250.0,685-689,14.0,154.0,1.0,3,0,1
34,17350.0,13.55,36,4,18.52,3666.67,675-679,8.0,18966.0,2.0,6,0,0
35,8000.0,7.9,36,1,29.62,5583.33,780-784,9.0,6065.0,1.0,10,1,0
36,7200.0,7.9,36,4,7.98,5666.67,720-724,5.0,8783.0,0.0,3,0,1
37,20125.0,7.62,36,2,4.29,3750.0,830-834,13.0,73952.0,0.0,1,1,0
38,12000.0,8.9,36,4,12.06,5000.0,715-719,11.0,14717.0,0.0,4,0,1
39,1850.0,12.49,36,2,20.56,3448.33,660-664,10.0,18749.0,5.0,0,1,0
40,3200.0,17.27,36,2,8.36,2500.0,670-674,7.0,6619.0,1.0,3,1,0
41,12725.0,11.14,36,4,22.15,4416.67,720-724,23.0,4079.0,0.0,3,0,1
42,5500.0,19.13,36,3,3.58,12000.0,660-664,2.0,0.0,1.0,8,0,1
43,15650.0,21.74,36,3,13.86,3700.0,660-664,5.0,10605.0,1.0,4,0,1
44,9000.0,17.27,36,3,25.22,5166.67,675-679,14.0,5852.0,1.0,10,0,1
45,5000.0,11.86,36,1,4.0,5577.0,715-719,3.0,1069.0,0.0,1,0,1
46,3000.0,10.38,36,4,15.21,3083.33,710-714,11.0,3098.0,0.0,2,0,1
47,20000.0,23.91,60,4,9.47,11250.0,670-674,5.0,11168.0,0.0,0,1,0
48,5450.0,7.49,60,3,2.48,4600.0,785-789,14.0,4326.0,0.0,10,1,0
49,14000.0,12.12,36,4,11.38,4500.0,705-709,22.0,18583.0,0.0,5,1,0
50,8800.0,10.38,60,3,21.59,3750.0,750-754,11.0,18694.0,1.0,2,0,1
51,3000.0,17.44,36,3,15.79,7952.0,660-664,4.0,12578.0,0.0,8,0,1
52,32000.0,17.27,60,4,15.61,9250.0,700-704,15.0,32566.0,1.0,2,0,1
53,22250.0,21.49,60,4,28.87,4166.67,665-669,15.0,14107.0,0.0,9,0,1
54,7325.0,17.8,60,4,20.37,3000.0,680-684,6.0,13583.0,0.0,5,0,0
55,16450.0,11.14,36,4,7.57,7500.0,725-729,5.0,2928.0,0.0,1,0,1
56,2500.0,12.98,36,4,16.45,1100.0,670-674,6.0,5019.0,1.0,4,0,1
57,6000.0,9.99,36,3,7.5,2625.0,715-719,4.0,5167.0,0.0,10,1,0
58,27575.0,14.33,36,4,19.63,5166.67,690-694,6.0,8720.0,0.0,10,1,0
59,1000.0,8.59,36,1,10.69,4583.33,755-759,22.0,17069.0,1.0,0,0,0
60,12000.0,11.49,36,4,12.85,2708.33,705-709,8.0,12150.0,1.0,0,0,1
61,30000.0,10.16,36,4,22.21,8000.0,715-719,14.0,33218.0,0.0,10,1,0
62,13500.0,14.33,36,4,31.7,4166.67,680-684,11.0,31168.0,0.0,1,0,1
63,9000.0,15.8,36,4,22.65,3250.0,665-669,9.0,16480.0,0.0,3,1,0
64,15000.0,9.91,36,4,9.16,4250.0,730-734,11.0,11615.0,1.0,10,1,0
65,5300.0,7.9,36,2,12.82,5500.0,725-729,8.0,9996.0,2.0,1,0,1
66,7000.0,13.11,36,4,16.76,3650.0,685-689,12.0,6444.0,1.0,5,0,1
67,20000.0,16.29,36,4,11.85,9166.67,685-689,10.0,12421.0,3.0,0,0,1
68,15000.0,18.25,60,4,13.65,2916.67,705-709,4.0,12786.0,0.0,0,0,1
69,8000.0,14.09,36,2,12.06,5000.0,695-699,10.0,,1.0,6,0,1
70,24000.0,19.03,60,4,3.63,7500.0,695-699,6.0,8568.0,1.0,10,0,1
71,7500.0,8.9,36,4,10.02,5500.0,715-719,9.0,2382.0,0.0,6,0,1
72,17000.0,11.83,36,4,12.7,4583.33,735-739,5.0,3644.0,1.0,6,0,1
73,12000.0,17.27,36,3,14.86,4583.33,665-669,12.0,9145.0,1.0,10,0,0
74,6000.0,15.31,36,3,15.91,3833.33,670-674,11.0,5760.0,1.0,10,0,1
75,6725.0,13.12,36,4,13.16,5000.0,670-674,10.0,5513.0,9.0,10,1,0
76,4500.0,6.76,36,4,14.74,2666.67,790-794,7.0,2705.0,0.0,7,1,0
77,1600.0,10.83,36,3,5.36,2427.0,700-704,5.0,7020.0,0.0,3,0,1
78,10000.0,17.77,36,2,30.4,2500.0,665-669,5.0,8379.0,0.0,8,0,0
79,18550.0,7.9,36,4,16.93,5416.67,725-729,10.0,28877.0,0.0,3,1,0
80,7450.0,13.06,36,4,3.3,5883.33,710-714,2.0,6416.0,1.0,10,1,0
81,3225.0,7.62,36,4,17.79,5833.33,760-764,5.0,70323.0,1.0,10,1,0
82,23675.0,17.77,36,3,29.94,6399.0,680-684,21.0,21920.0,0.0,10,0,0
83,12000.0,12.12,36,4,18.62,5833.33,690-694,16.0,18838.0,0.0,10,0,1
84,25000.0,16.49,36,4,18.18,6000.0,695-699,9.0,10630.0,2.0,7,0,1
85,16000.0,11.12,36,3,17.86,6666.67,725-729,7.0,18659.0,4.0,5,1,0
86,4200.0,8.9,36,1,10.16,3041.67,810-814,4.0,1548.0,0.0,10,1,0
87,10000.0,14.09,36,4,21.45,4583.33,675-679,11.0,8548.0,0.0,6,0,1
88,6000.0,7.51,36,2,2.52,4800.0,750-754,,1442.0,0.0,10,1,0
89,6000.0,13.11,36,4,15.33,3333.33,685-689,7.0,12503.0,2.0,2,0,1
90,7925.0,16.29,36,4,21.25,2000.0,665-669,6.0,7840.0,0.0,6,0,1
91,16000.0,7.62,36,4,6.48,6000.0,765-769,8.0,19539.0,0.0,0,1,0
92,9525.0,15.81,36,3,11.35,2666.67,670-674,15.0,5610.0,1.0,0,0,1
93,6000.0,14.35,36,4,14.08,2500.0,675-679,9.0,3621.0,3.0,0,1,0
94,10000.0,14.96,36,4,11.5,5250.0,675-679,4.0,3035.0,5.0,2,1,0
95,7000.0,6.62,36,1,8.03,10000.0,750-754,9.0,6761.0,1.0,6,1,0
96,4500.0,5.99,36,4,18.48,10000.0,765-769,18.0,17863.0,3.0,6,1,0
97,12000.0,11.14,36,4,2.37,12500.0,735-739,13.0,10944.0,0.0,5,1,0
98,10375.0,19.72,36,4,4.99,4166.67,665-669,9.0,6122.0,1.0,5,0,1
99,4800.0,18.75,36,3,10.89,5833.33,670-674,,17943.0,0.0,10,1,0
100,6400.0,13.11,36,3,11.46,4666.67,700-704,7.0,8942.0,1.0,10,1,0
101,5000.0,7.9,36,4,17.22,4000.0,705-709,10.0,6023.0,0.0,10,0,0
102,12000.0,6.62,36,3,21.66,5250.0,740-744,11.0,20639.0,0.0,0,0,1
103,23850.0,21.48,60,3,18.75,4250.0,690-694,23.0,37251.0,0.0,4,1,0
104,15000.0,10.65,36,3,16.15,7083.33,720-724,14.0,338.0,2.0,9,1,0
105,8000.0,7.62,36,3,0.0,3500.0,765-769,7.0,0.0,1.0,0,1,0
106,20000.0,6.03,36,3,18.67,14583.33,715-719,9.0,29044.0,0.0,7,1,0
107,20000.0,13.11,36,4,15.09,8233.33,710-714,17.0,29756.0,2.0,0,0,1
108,10000.0,14.09,36,4,10.59,2916.67,690-694,9.0,10390.0,3.0,0,0,1
109,18825.0,14.09,36,3,13.08,4000.0,710-714,6.0,20694.0,1.0,4,0,1
110,35000.0,7.9,36,3,1.59,18333.33,775-779,10.0,1992.0,0.0,1,0,1
111,9000.0,6.03,36,2,5.58,9583.33,815-819,11.0,675.0,0.0,0,1,0
112,4000.0,6.17,36,2,15.0,4234.0,745-749,5.0,587.0,1.0,2,0,1
113,5750.0,13.99,36,3,12.44,5000.0,660-664,13.0,12465.0,0.0,10,0,1
114,20950.0,15.8,36,4,15.71,12916.67,690-694,8.0,30188.0,1.0,4,1,0
115,8000.0,10.99,36,3,14.76,7500.0,710-714,9.0,7120.0,2.0,0,0,1
116,10000.0,10.16,36,4,9.3,3333.33,725-729,8.0,8940.0,2.0,0,1,0
117,10000.0,14.09,36,3,14.76,5000.0,675-679,7.0,4762.0,0.0,4,0,1
118,14000.0,6.03,36,3,19.53,6000.0,765-769,13.0,4140.0,0.0,8,1,0
119,5000.0,7.66,36,3,3.33,9000.0,735-739,3.0,12297.0,0.0,10,0,1
120,25000.0,19.05,60,4,10.53,6250.0,700-704,8.0,15159.0,1.0,9,1,0
121,35000.0,8.9,36,4,14.62,10416.67,735-739,9.0,21321.0,0.0,10,0,1
122,7200.0,11.14,36,4,27.89,3750.0,690-694,8.0,20342.0,0.0,10,1,0
123,14000.0,8.49,60,4,9.89,9000.0,760-764,17.0,23773.0,0.0,4,1,0
124,15000.0,15.21,36,4,19.1,5132.0,680-684,4.0,34044.0,1.0,3,0,1
125,25000.0,19.72,60,4,32.1,4916.67,695-699,21.0,35208.0,1.0,7,0,0
126,10800.0,14.65,36,4,7.89,9583.33,675-679,6.0,6487.0,1.0,0,0,1
127,20000.0,14.33,36,3,21.44,6250.0,700-704,9.0,14268.0,1.0,9,1,0
128,4000.0,10.74,36,4,1.97,2900.0,695-699,13.0,1869.0,1.0,0,0,1
129,16000.0,15.7,36,4,23.51,9333.33,675-679,20.0,12721.0,5.0,10,1,0
130,1400.0,9.76,36,2,27.14,4683.33,730-734,6.0,6466.0,0.0,2,1,0
131,7500.0,16.32,36,4,12.54,4600.0,665-669,3.0,6120.0,0.0,2,1,0
132,24625.0,14.07,36,3,12.81,10000.0,675-679,14.0,33698.0,0.0,8,1,0
133,5000.0,14.09,36,4,29.02,5416.67,680-684,11.0,3977.0,1.0,0,1,0
134,25000.0,9.91,36,4,20.49,7916.67,725-729,14.0,27203.0,0.0,1,0,1
135,7500.0,16.4,36,4,13.34,4166.67,660-664,8.0,7430.0,0.0,0,0,1
136,34500.0,6.62,36,3,16.46,10000.0,805-809,,5317.0,0.0,9,1,0
137,10000.0,5.79,36,4,6.49,12500.0,745-749,17.0,75629.0,0.0,1,1,0
138,3200.0,9.88,36,4,6.51,4500.0,740-744,7.0,3198.0,0.0,5,0,1
139,5500.0,15.99,60,4,17.95,4250.0,700-704,16.0,13256.0,0.0,10,0,1
140,3000.0,9.76,36,4,21.82,1100.0,720-724,4.0,2413.0,0.0,0,0,0
141,18000.0,23.28,60,4,9.05,7083.33,660-664,6.0,13106.0,0.0,10,0,1
142,10000.0,9.63,36,4,13.77,4190.0,735-739,6.0,1251.0,1.0,0,1,0
143,8800.0,13.11,36,3,16.73,3150.25,700-704,13.0,14266.0,1.0,4,0,1
144,7000.0,11.14,36,4,23.02,6000.0,705-709,17.0,19634.0,2.0,6,1,0
145,8000.0,13.11,36,4,19.01,2625.0,725-729,8.0,7554.0,1.0,5,0,1
146,3000.0,17.27,36,3,16.62,3833.33,660-664,4.0,4136.0,0.0,0,0,1
147,12000.0,7.51,36,4,11.91,7500.0,735-739,18.0,33702.0,1.0,10,0,1
148,3600.0,14.11,36,3,0.04,2500.0,725-729,4.0,1.0,0.0,3,0,1
149,11625.0,14.33,36,4,22.84,2833.33,705-709,6.0,27411.0,2.0,8,1,0
150,30000.0,21.49,36,3,16.7,12500.0,670-674,14.0,19096.0,2.0,9,1,0
151,16000.0,8.9,36,4,19.71,7083.33,720-724,11.0,6185.0,1.0,4,0,1
152,10800.0,10.75,36,1,15.32,8400.0,715-719,6.0,24675.0,0.0,10,1,0
153,25000.0,16.69,60,4,14.11,7666.67,705-709,15.0,28748.0,3.0,8,1,0
154,10000.0,13.98,60,3,14.86,3916.67,710-714,9.0,5188.0,4.0,4,0,1
155,12375.0,10.91,36,3,16.39,3892.75,690-694,11.0,8332.0,2.0,3,1,0
156,6000.0,11.48,36,3,18.2,5031.67,705-709,9.0,50935.0,0.0,10,1,0
157,8000.0,13.49,36,4,14.92,5000.0,685-689,18.0,4786.0,1.0,2,0,1
158,15000.0,18.25,36,3,9.73,5000.0,660-664,11.0,14596.0,0.0,8,1,0
159,7000.0,17.77,36,3,32.25,3333.33,665-669,12.0,35604.0,3.0,7,0,1
160,8400.0,6.92,36,0,13.3,3000.0,745-749,9.0,6998.0,1.0,1,0,1
161,15000.0,7.9,36,4,18.62,4500.0,740-744,10.0,17212.0,0.0,7,1,0
162,15000.0,14.33,36,4,13.3,5000.0,665-669,7.0,11368.0,1.0,0,0,1
163,2800.0,10.16,36,1,12.0,2083.33,695-699,7.0,7261.0,0.0,0,0,1
164,7750.0,16.29,36,4,26.74,2916.67,680-684,18.0,17102.0,0.0,5,1,0
165,4500.0,8.9,36,3,18.18,2166.67,700-704,8.0,5361.0,0.0,4,0,1
166,17500.0,12.53,36,4,21.63,3666.67,715-719,7.0,20010.0,0.0,6,0,1
167,18000.0,15.31,60,4,4.93,5258.5,710-714,6.0,11596.0,0.0,10,0,1
168,15000.0,15.27,60,4,17.9,2748.0,720-724,14.0,7956.0,1.0,6,1,0
169,6000.0,15.23,36,3,19.57,4583.33,665-669,13.0,8077.0,1.0,1,0,0
170,11500.0,11.14,36,3,28.25,2750.0,700-704,6.0,9079.0,0.0,5,0,1
171,10000.0,13.11,36,3,7.56,2500.0,685-689,8.0,10906.0,0.0,7,0,1
172,12000.0,8.9,36,3,12.46,5000.0,725-729,5.0,13940.0,0.0,10,0,1
173,10000.0,12.12,36,4,18.4,5000.0,685-689,7.0,13202.0,0.0,10,1,0
174,35000.0,21.28,60,4,18.21,7916.67,680-684,8.0,19789.0,2.0,10,0,1
175,7200.0,10.38,60,1,17.97,3000.0,750-754,7.0,2753.0,1.0,2,0,1
176,4000.0,7.9,60,1,4.48,4000.0,800-804,16.0,6696.0,0.0,0,0,0
177,5300.0,11.14,36,4,8.47,8333.33,740-744,5.0,73258.0,1.0,3,1,0
178,1200.0,7.62,36,3,8.69,3833.33,730-734,14.0,350.0,1.0,7,1,0
179,2500.0,11.14,36,1,10.08,4333.33,720-724,4.0,4922.0,0.0,3,0,1
180,17000.0,14.33,36,4,26.35,7500.0,700-704,21.0,39130.0,3.0,10,0,0
181,16000.0,7.9,36,3,12.3,8416.67,695-699,14.0,21913.0,1.0,5,1,0
182,10000.0,12.69,36,4,3.8,6666.67,695-699,8.0,7967.0,1.0,3,1,0
183,5000.0,10.16,36,4,24.5,6250.0,700-704,9.0,33705.0,0.0,6,1,0
184,4375.0,19.05,36,3,9.09,2916.67,670-674,9.0,6944.0,2.0,6,0,1
185,8500.0,6.03,36,2,12.33,6100.0,745-749,17.0,6370.0,0.0,10,1,0
186,12000.0,16.89,60,3,15.24,7500.0,675-679,14.0,28589.0,2.0,3,1,0
187,6200.0,8.59,36,3,19.1,5000.0,740-744,17.0,9367.0,0.0,1,0,1
188,7000.0,18.49,36,4,18.9,2000.0,660-664,10.0,7315.0,2.0,1,1,0
189,20800.0,12.69,60,4,7.08,6541.67,730-734,9.0,13197.0,0.0,1,1,0
190,19200.0,13.11,60,3,3.45,8333.33,745-749,14.0,50625.0,3.0,2,1,0
191,22000.0,15.8,60,4,21.32,5416.67,700-704,9.0,10267.0,1.0,10,1,0
192,15000.0,19.05,36,4,24.88,6000.0,675-679,12.0,12162.0,0.0,1,0,1
193,7000.0,19.47,36,4,17.08,5000.0,665-669,11.0,13859.0,0.0,3,0,1
194,20000.0,8.9,36,3,17.08,4916.67,730-734,10.0,14952.0,2.0,4,0,1
195,2000.0,6.17,36,4,18.35,5733.58,745-749,9.0,21998.0,0.0,3,0,1
196,18000.0,10.59,60,1,15.03,4000.0,755-759,9.0,6718.0,0.0,10,1,0
197,20800.0,11.48,36,2,21.77,11666.67,790-794,6.0,682.0,1.0,10,0,0
198,9000.0,7.88,36,4,14.51,5708.33,725-729,9.0,12217.0,0.0,7,1,0
199,6000.0,14.09,36,3,22.5,2666.67,670-674,18.0,5955.0,0.0,10,0,1
200,5000.0,15.8,36,4,34.2,3750.0,665-669,18.0,5414.0,3.0,3,0,1
201,12000.0,14.83,60,3,22.31,4186.0,685-689,9.0,9398.0,0.0,3,0,1
202,7000.0,8.0,36,3,6.36,7583.33,750-754,9.0,21135.0,0.0,10,1,0
203,6000.0,10.0,36,1,8.74,15416.67,715-719,9.0,105730.0,1.0,10,1,0
204,17000.0,13.98,36,4,17.65,9166.67,700-704,14.0,16230.0,4.0,3,1,0
205,12000.0,8.94,36,3,18.99,4750.0,750-754,13.0,25577.0,1.0,4,0,1
206,16350.0,7.9,36,3,25.03,4541.67,730-734,7.0,25731.0,0.0,9,0,0
207,20000.0,7.9,36,4,20.04,4625.0,755-759,14.0,31335.0,1.0,10,1,0
208,12300.0,12.12,36,4,10.01,6583.33,690-694,15.0,12450.0,0.0,1,0,1
209,4800.0,13.11,36,4,4.61,2666.67,690-694,3.0,7911.0,0.0,0,0,1
210,14500.0,7.9,36,3,11.96,4500.0,735-739,8.0,16398.0,0.0,6,0,1
211,4200.0,8.9,36,4,10.43,2254.0,700-704,7.0,4490.0,0.0,0,1,0
212,22250.0,14.09,36,3,32.1,6583.33,690-694,18.0,44868.0,0.0,10,1,0
213,8000.0,14.09,36,2,7.68,25000.0,675-679,6.0,28579.0,1.0,8,0,1
214,8325.0,17.77,36,4,20.75,2000.0,665-669,7.0,7676.0,0.0,0,0,1
215,14000.0,13.11,36,4,8.12,10416.67,730-734,4.0,4776.0,0.0,7,0,0
216,9000.0,10.16,36,4,3.98,6000.0,705-709,6.0,5659.0,0.0,7,1,0
217,16000.0,13.11,36,3,17.61,6083.33,680-684,13.0,15148.0,0.0,2,1,0
218,15200.0,11.14,36,3,14.5,7916.67,760-764,7.0,217827.0,2.0,6,1,0
219,24000.0,10.65,36,4,14.8,3750.0,725-729,5.0,24708.0,0.0,10,0,1
220,16450.0,15.31,36,4,11.66,6666.67,685-689,8.0,12697.0,3.0,9,1,0
221,7500.0,12.12,36,2,26.56,5000.0,710-714,8.0,9047.0,1.0,10,1,0
222,4750.0,22.47,36,4,24.45,1333.33,665-669,9.0,4752.0,2.0,0,0,1
223,6500.0,7.9,36,4,12.56,6750.0,720-724,17.0,33229.0,0.0,8,0,1
224,5500.0,18.67,60,4,17.71,1750.0,660-664,6.0,4492.0,6.0,2,0,1
225,9600.0,6.03,36,2,7.52,6250.0,750-754,7.0,765.0,0.0,0,1,0
226,12000.0,12.12,36,1,31.34,4166.67,710-714,21.0,28703.0,2.0,3,0,0
227,2000.0,7.51,36,3,16.73,1500.0,730-734,5.0,2925.0,0.0,4,0,1
228,18000.0,24.89,60,4,14.88,4000.0,665-669,10.0,7377.0,3.0,8,0,1
229,5825.0,12.12,36,2,4.0,3750.0,690-694,4.0,5643.0,0.0,1,0,0
230,2500.0,15.31,36,2,22.81,2530.0,670-674,7.0,5276.0,6.0,0,0,1
231,7200.0,19.91,60,3,2.0,5500.0,660-664,13.0,2130.0,0.0,9,0,1
232,8000.0,14.33,36,3,11.85,3941.58,670-674,15.0,9660.0,0.0,2,0,1
233,25000.0,20.77,60,2,19.12,6000.0,665-669,17.0,12757.0,2.0,10,1,0
234,2500.0,14.09,36,2,20.95,2666.67,665-669,9.0,15787.0,0.0,0,0,1
235,20000.0,12.84,36,2,1.49,3500.0,750-754,6.0,1954.0,5.0,2,1,0
236,6250.0,13.11,36,4,28.61,1779.17,720-724,19.0,7455.0,1.0,3,0,1
237,12375.0,13.67,36,4,22.42,2083.33,680-684,8.0,12226.0,0.0,3,1,0
238,18000.0,10.16,36,4,16.71,6666.67,685-689,16.0,19850.0,1.0,6,1,0
239,3300.0,6.99,36,3,20.04,3333.33,760-764,10.0,0.0,2.0,1,0,1
240,21000.0,18.49,60,3,16.4,8833.33,700-704,11.0,29293.0,0.0,1,1,0
241,24575.0,16.29,36,4,19.6,5250.0,695-699,8.0,20858.0,2.0,10,1,0
242,5000.0,7.74,36,3,14.4,5166.67,750-754,8.0,15489.0,1.0,10,0,1
243,20000.0,16.29,36,4,23.59,5833.33,680-684,14.0,12696.0,1.0,0,1,0
244,13250.0,6.62,36,4,28.64,5750.0,750-754,12.0,7174.0,3.0,8,1,0
245,10000.0,8.59,36,1,2.85,10167.0,790-794,9.0,16.0,3.0,10,1,0
246,20000.0,10.75,36,4,11.37,8416.67,740-744,10.0,12283.0,0.0,3,0,1
247,10000.0,8.49,36,4,13.58,4166.67,715-719,8.0,8455.0,0.0,10,1,0
248,12000.0,12.12,36,4,14.66,5000.0,710-714,11.0,13235.0,2.0,2,1,0
249,8000.0,7.9,36,2,12.54,3500.0,725-729,8.0,6834.0,2.0,5,1,0
250,11000.0,8.94,36,3,22.38,4200.0,760-764,6.0,8694.0,4.0,7,1,0
251,12500.0,7.49,36,4,14.07,8237.5,730-734,15.0,13261.0,0.0,6,0,1
252,7500.0,11.03,36,3,11.41,3750.0,685-689,15.0,5148.0,7.0,6,1,0
253,4825.0,10.16,36,4,14.89,2400.0,705-709,14.0,6109.0,1.0,1,0,1
254,7550.0,16.89,36,3,21.94,2880.0,670-674,2.0,1989.0,1.0,8,0,1
255,8000.0,14.35,36,3,20.35,4000.0,675-679,7.0,2082.0,0.0,4,0,1
256,6000.0,14.09,36,4,15.72,5083.33,670-674,11.0,10373.0,0.0,4,0,1
257,8000.0,15.57,60,1,2.38,5291.67,700-704,4.0,1252.0,6.0,5,0,1
258,3000.0,14.59,36,4,24.2,5000.0,665-669,6.0,5527.0,1.0,5,1,0
259,8000.0,16.29,36,4,15.76,3750.0,665-669,8.0,7374.0,1.0,6,0,1
260,8400.0,5.99,36,3,8.7,3000.0,750-754,6.0,6215.0,0.0,2,0,0
261,35000.0,14.65,36,2,12.2,14166.67,720-724,7.0,103354.0,0.0,8,1,0
262,15000.0,7.9,36,3,21.54,5000.0,730-734,8.0,21555.0,0.0,2,0,0
263,7500.0,10.99,36,2,7.51,7083.33,800-804,9.0,2245.0,7.0,8,1,0
264,24000.0,9.62,60,4,17.41,7695.08,805-809,6.0,1502.0,0.0,9,0,1
265,21000.0,20.5,60,4,18.42,8083.33,680-684,11.0,31080.0,2.0,5,1,0
266,6000.0,7.62,36,4,9.33,8315.67,730-734,8.0,6239.0,0.0,2,0,1
267,4500.0,6.91,36,1,0.58,65000.0,725-729,7.0,3015.0,4.0,7,1,0
268,29000.0,17.77,36,4,15.7,7666.67,695-699,11.0,23319.0,0.0,2,0,1
269,20000.0,15.31,36,4,27.35,5250.0,690-694,11.0,11343.0,1.0,6,0,1
270,7000.0,10.16,36,4,10.76,4341.67,695-699,11.0,13638.0,0.0,7,1,0
271,5000.0,10.36,36,3,0.51,2916.67,715-719,2.0,165.0,2.0,3,0,1
272,6000.0,17.27,36,4,6.91,4025.67,665-669,6.0,6652.0,2.0,5,1,0
273,10000.0,15.27,36,2,4.02,4480.0,670-674,9.0,7614.0,2.0,1,0,1
274,3200.0,17.49,36,3,1.37,2917.0,665-669,4.0,1427.0,1.0,0,0,1
275,23000.0,17.77,36,4,25.84,6625.0,685-689,17.0,19870.0,1.0,3,1,0
276,5000.0,11.54,36,3,10.36,3416.67,670-674,17.0,15301.0,7.0,1,0,1
277,3000.0,12.69,36,4,3.12,2083.33,715-719,3.0,844.0,0.0,3,0,1
278,12000.0,10.74,60,4,17.63,3500.0,715-719,11.0,18808.0,0.0,5,0,1
279,20000.0,13.99,60,4,31.2,4166.67,720-724,9.0,8810.0,0.0,6,0,1
280,1200.0,15.8,36,4,27.14,2166.67,665-669,9.0,9076.0,1.0,3,0,1
281,8000.0,6.62,36,3,4.9,3000.0,780-784,5.0,6084.0,1.0,0,1,0
282,10000.0,16.49,60,3,17.7,5416.67,705-709,10.0,41329.0,0.0,10,1,0
283,11000.0,13.06,36,3,22.42,7916.67,690-694,9.0,34314.0,1.0,0,1,0
284,18000.0,16.29,36,3,17.62,5250.0,670-674,11.0,9379.0,1.0,5,1,0
285,24000.0,17.49,60,3,8.96,5000.0,705-709,4.0,323.0,1.0,10,0,1
286,8000.0,18.75,60,3,9.92,5002.33,675-679,7.0,8421.0,1.0,10,1,0
287,6000.0,11.71,36,3,21.45,3100.0,685-689,18.0,10426.0,0.0,2,0,1
288,35000.0,17.27,36,4,22.74,6750.0,675-679,15.0,24626.0,1.0,10,0,1
289,1000.0,10.36,36,0,0.0,1800.0,730-734,2.0,0.0,1.0,0,1,0
290,10000.0,15.31,36,3,27.71,3750.0,680-684,19.0,19385.0,1.0,3,0,1
291,6000.0,15.8,36,2,7.94,5000.0,670-674,7.0,14784.0,1.0,10,0,1
292,4000.0,6.03,36,1,13.03,2916.67,750-754,7.0,2860.0,0.0,5,0,1
