,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id
61,151.0,D00-ENG,,0.506563,2,,medium,0.35549,Left,3.0,112452
62,225.0,D00-SS,,0.893351,4,,medium,0.814574,Left,5.0,128219
63,253.0,D00-ENG,,1.0,5,,medium,0.852952,Left,5.0,126639
64,269.0,D00-FN,,0.932009,6,,medium,0.0633131,Left,4.0,123331
65,274.0,D00-ENG,,0.944104,6,,low,0.159258,Left,4.0,118903
66,155.0,D00-MT,,0.536342,2,,low,0.43599,Left,3.0,118983
67,255.0,D00-SP,,0.917034,7,,low,0.150519,Left,4.0,115221
68,149.0,D00-PD,,0.607982,6,,low,0.471637,Left,4.0,129163
69,271.0,D00-SS,,0.64205,3,,low,0.418694,Left,4.0,124226
70,268.0,D00-ENG,,0.922942,6,,medium,0.0650439,Left,4.0,114776
71,153.0,,,,2,,low,0.455101,Left,3.0,121337
72,294.0,,,0.587699,3,,low,0.76039,Left,4.0,119768
73,293.0,D00-SP,,0.857715,6,,low,0.141662,Left,4.0,113143
74,309.0,D00-ENG,,0.908443,7,,low,0.1035,Left,4.0,126535
75,235.0,D00-IT,,0.957642,5,,low,0.725715,Left,5.0,126561
76,158.0,D00-IT,,0.546333,2,,low,0.391487,Left,3.0,115017
77,273.0,D00-SP,,0.734583,3,,low,0.520728,Left,6.0,128872
78,277.0,D00-IT,,0.9496,2,,medium,0.723212,Left,3.0,112281
79,290.0,D00-SS,,0.859528,7,,low,0.127906,Left,4.0,111435
80,267.0,D00-SP,,0.801303,5,,medium,0.858963,Left,5.0,111357
81,249.0,D00-SP,,0.997918,4,,medium,0.811695,Left,6.0,125156
82,127.0,D00-IT,,0.568392,2,,low,0.455544,Left,3.0,120189
83,245.0,D00-SS,,0.904587,4,,low,0.724119,Left,6.0,124725
84,198.0,D00-AD,1.0,0.571508,5,,low,0.63736,Left,5.0,124761
85,160.0,D00-SS,,0.420976,2,1.0,low,0.375963,Left,3.0,113099
86,131.0,D00-FN,,0.465087,2,,low,0.465453,Left,3.0,125515
87,150.0,D00-PD,,0.601995,2,,low,0.44277,Left,3.0,111957
88,146.0,D00-SP,,0.484583,2,,low,0.471085,Left,3.0,112662
89,254.0,D00-SP,,0.85053,6,,low,0.0850537,Left,5.0,121651
90,152.0,D00-MT,,0.506971,2,,medium,0.387467,Left,3.0,115628
91,151.0,D00-PD,,0.438951,2,,low,0.389023,Left,3.0,125676
92,135.0,D00-SS,,0.540937,2,,low,0.312896,Left,5.0,125999
93,236.0,D00-PD,,0.896563,5,,low,0.765251,Left,6.0,118541
94,158.0,D00-SP,,,2,,low,0.338341,Left,3.0,129462
95,145.0,D00-SS,,0.502312,2,,low,0.405199,Left,3.0,111774
96,160.0,D00-SS,,0.508932,2,,low,0.407259,Left,3.0,124270
97,279.0,D00-SS,,0.79986,6,,low,0.0985616,Left,4.0,111233
98,274.0,D00-SP,,0.878575,5,,medium,0.79105,Left,6.0,118361
99,296.0,D00-SS,,0.677557,2,,medium,0.467873,Left,5.0,114462
100,259.0,D00-SP,,0.848992,6,,medium,0.178243,Left,5.0,117092
101,164.0,D00-SS,,0.714642,4,,low,0.524464,Left,2.0,116698
102,253.0,D00-MT,,0.83395,6,,medium,0.145414,Left,4.0,112773
103,297.0,D00-SS,,0.878721,6,,high,0.104844,Left,5.0,115412
104,151.0,D00-SS,,,2,,low,0.42148,Left,3.0,111116
105,130.0,D00-SP,,0.548987,2,,medium,0.422146,Left,3.0,118046
106,258.0,D00-ENG,,0.959213,4,,medium,0.944949,Left,5.0,111562
107,140.0,D00-SP,,0.521566,2,,low,0.461044,Left,3.0,113738
108,281.0,D00-MN,,0.99766,6,,medium,0.107146,Left,4.0,110438
109,156.0,D00-FN,,0.528929,2,,high,0.312928,Left,3.0,126579
110,153.0,D00-FN,,,2,,low,0.356232,Left,3.0,117468
111,223.0,D00-SS,,0.837597,5,,low,0.738441,Left,5.0,117159
112,147.0,D00-SP,,0.452001,2,,low,0.34499,Left,3.0,113211
113,148.0,D00-SS,,0.533172,2,,low,0.36142,Left,3.0,115247
114,246.0,D00-SS,,0.944761,4,,low,0.928173,Left,5.0,129323
115,310.0,D00-PD,,0.524456,5,,medium,0.414488,Left,3.0,126390
116,137.0,D00-ENG,,0.499013,2,,medium,0.504321,Left,3.0,110118
117,303.0,D00-FN,,0.866422,5,,medium,0.0609863,Left,5.0,116771
118,151.0,D00-MN,,0.522235,2,,low,0.421082,Left,3.0,123359
119,150.0,D00-SP,,0.531091,2,,low,0.429583,Left,3.0,110191
120,239.0,D00-IT,,0.82423,4,,low,0.776066,Left,6.0,118749
121,202.0,D00-SS,,,3,,medium,0.425503,Left,3.0,113867
122,279.0,D00-SS,,0.807814,6,,low,0.126932,Left,4.0,127553
123,127.0,D00-IT,,0.516111,2,,low,0.357358,Left,3.0,112716
124,136.0,D00-SS,,0.48096,2,,medium,0.401807,Left,3.0,119437
125,274.0,D00-SS,,0.574151,2,,low,0.732505,Left,4.0,112066
126,156.0,D00-SS,1.0,0.498253,2,,low,0.453624,Left,3.0,120884
127,261.0,D00-IT,,0.878444,6,,medium,0.101731,Left,4.0,126747
128,136.0,D00-SS,,0.53546,2,,low,0.487851,Left,3.0,113308
129,287.0,D00-ENG,,0.918562,6,,low,0.142113,Left,4.0,129482
130,218.0,D00-IT,1.0,0.85036,4,,low,0.822958,Left,5.0,111568
131,172.0,D00-SS,,,5,,low,0.326353,Left,2.0,126959
132,305.0,D00-ENG,,0.881748,7,,medium,0.139059,Left,4.0,126226
133,291.0,D00-SS,,0.819279,6,,low,0.101794,Left,4.0,121608
134,246.0,,,0.88409,6,,medium,0.131505,Left,4.0,115133
135,243.0,D00-PD,,0.923938,6,,high,0.154765,Left,4.0,129924
136,256.0,D00-SP,,0.962934,6,,low,0.0798577,Left,4.0,126368
137,228.0,D00-SP,,0.968112,5,,low,0.75621,Left,5.0,123258
138,283.0,D00-ENG,,0.789851,7,,low,0.128018,Left,5.0,116362
139,242.0,D00-SP,,0.846659,5,,medium,0.772121,Left,5.0,114759
140,245.0,D00-ENG,,0.885296,5,,low,0.817257,Left,5.0,126986
141,260.0,D00-IT,,0.876539,5,,medium,0.872302,Left,5.0,110235
142,192.0,D00-SS,,0.551225,7,,low,0.210584,Left,3.0,120655
143,158.0,D00-SP,,0.547159,2,,low,0.358773,Left,3.0,119989
144,306.0,D00-ENG,,0.893635,6,,low,0.166866,Left,4.0,114238
145,154.0,D00-ENG,,0.889985,3,,medium,0.401073,Left,4.0,119337
146,298.0,D00-SS,,0.888568,6,,low,0.14453,Left,4.0,110133
147,285.0,D00-IT,,0.931751,7,,low,0.0737981,Left,4.0,122457
148,260.0,D00-SP,,0.895906,5,,low,0.867948,Left,5.0,129990
149,159.0,D00-PD,,,2,,low,0.324768,Left,3.0,111738
150,156.0,D00-SS,,0.419956,2,,low,0.38645,Left,3.0,127703
151,147.0,D00-SP,,0.582465,2,,low,0.442294,Left,3.0,118948
152,247.0,D00-ENG,,0.876086,5,,low,0.83846,Left,5.0,110665
153,246.0,D00-SS,1.0,0.855755,5,,medium,0.830533,Left,5.0,119980
154,216.0,D00-ENG,,1.0,4,,low,0.753578,Left,6.0,129685
155,140.0,,,0.530962,2,,medium,0.43994,Left,3.0,111673
156,247.0,D00-SS,,0.942873,7,,medium,0.144449,Left,4.0,128659
157,280.0,D00-ENG,,0.630177,2,,low,0.327048,Left,4.0,123252
158,265.0,D00-SS,,0.792833,4,,low,0.920042,Left,6.0,111351
159,128.0,D00-SS,,0.498708,2,,medium,0.423624,Left,3.0,116572
160,255.0,D00-SP,,0.894924,7,,medium,0.17525,Left,4.0,113178
161,263.0,D00-ENG,,1.0,4,,medium,0.829606,Left,6.0,129044
162,255.0,D00-SP,,0.930584,7,,medium,0.0806184,Left,4.0,115307
163,132.0,D00-SS,,0.477055,2,,medium,0.495775,Left,3.0,122572
164,136.0,D00-ENG,,0.529917,2,,low,0.377291,Left,3.0,111962
165,141.0,D00-SS,1.0,0.462154,2,,low,0.466326,Left,3.0,117757
166,131.0,D00-SS,,0.485783,2,,low,0.349181,Left,3.0,112450
167,296.0,D00-ENG,,0.885543,7,,medium,0.09247,Left,4.0,123971
168,137.0,D00-SS,,,2,,low,0.418467,Left,3.0,111912
169,258.0,D00-SS,,0.967462,2,,low,0.667322,Left,5.0,118136
170,159.0,D00-SS,,0.544412,2,,medium,0.422724,Left,3.0,115233
171,129.0,D00-ENG,,0.558944,2,,medium,0.469451,Left,3.0,123573
172,276.0,D00-SP,,0.752432,5,,low,0.115195,Left,4.0,122152
173,139.0,D00-SS,,0.585351,2,,low,0.475075,Left,3.0,111005
174,142.0,D00-SS,,,2,,low,0.447818,Left,3.0,119822
175,130.0,D00-SS,,0.484567,2,,low,0.455295,Left,3.0,128303
176,285.0,D00-ENG,,0.901575,6,,low,0.131683,Left,4.0,116549
177,285.0,D00-FN,,0.754973,6,,medium,0.0904151,Left,4.0,123927
178,309.0,D00-SS,,0.876306,6,,medium,0.101742,Left,4.0,110550
179,263.0,D00-SP,,0.887814,4,,low,0.773491,Left,5.0,118142
180,276.0,D00-SS,,0.902899,6,,low,0.0961399,Left,4.0,128622
181,285.0,D00-IT,,0.797767,7,,medium,0.125959,Left,4.0,115278
182,155.0,D00-IT,,0.525671,2,,low,0.381088,Left,3.0,126982
183,299.0,D00-SS,1.0,0.819308,6,,low,0.129074,Left,4.0,128620
184,158.0,D00-SP,,0.543576,2,,low,0.35252,Left,3.0,129181
185,270.0,D00-SS,,0.855482,4,,low,0.884897,Left,5.0,117890
186,278.0,D00-MT,,0.949239,6,,low,0.0938494,Left,4.0,117601
187,143.0,,,0.509272,2,,medium,0.429593,Left,3.0,114547
188,282.0,D00-MT,,0.676745,2,,low,0.356162,Left,5.0,112646
189,247.0,D00-SS,,0.516293,2,,medium,0.0597921,Left,4.0,113224
190,158.0,D00-SS,,0.554521,2,,low,0.365284,Left,3.0,111135
191,142.0,D00-SP,,,2,,medium,0.484054,Left,3.0,110364
192,151.0,D00-AD,,0.458269,2,,medium,0.381992,Left,3.0,120488
193,247.0,D00-ENG,,0.84342,4,,low,0.813122,Left,6.0,127020
194,255.0,D00-SS,,0.86191,6,,low,0.135853,Left,4.0,118213
195,241.0,D00-SS,,0.972069,5,,medium,0.786684,Left,5.0,119615
196,143.0,D00-SS,,0.561972,2,,low,0.415942,Left,3.0,128928
197,290.0,D00-SS,,0.896066,7,,low,0.101141,Left,4.0,123853
198,290.0,D00-MN,,0.755191,7,,low,0.080867,Left,4.0,124961
199,267.0,D00-SP,,0.828781,5,,low,0.789816,Left,5.0,116866
200,156.0,D00-SS,1.0,0.414742,2,,low,0.361317,Left,3.0,119040
201,159.0,D00-SS,,,2,,low,0.405428,Left,3.0,112121
202,160.0,D00-ENG,,0.600898,2,,medium,0.40791,Left,3.0,113512
203,232.0,D00-SS,,0.960754,4,,low,0.884619,Left,5.0,117565
204,141.0,D00-SS,1.0,0.503339,2,,low,0.501475,Left,3.0,123162
205,139.0,D00-MT,,0.533964,2,,low,0.385363,Left,3.0,111800
206,160.0,D00-SS,,0.480823,2,,low,0.398427,Left,3.0,117397
207,258.0,D00-SS,,0.950414,2,,low,0.652081,Left,5.0,110577
208,268.0,D00-SP,,0.953886,6,,low,0.169063,Left,4.0,128931
209,134.0,D00-SP,,0.526204,2,,low,0.388992,Left,3.0,116217
210,148.0,D00-SS,,,2,,low,0.430123,Left,3.0,117262
211,136.0,D00-ENG,,0.786735,5,,low,0.0878727,Left,2.0,114632
212,137.0,-IT,,0.543217,2,,medium,0.44207,Left,3.0,126341
213,144.0,,,0.458964,2,,medium,0.382781,Left,3.0,125586
214,157.0,D00-SS,,0.503556,2,,low,0.328297,Left,3.0,118385
215,280.0,D00-ENG,,0.839185,6,,low,0.0702263,Left,4.0,121861
216,264.0,D00-ENG,,0.96353,5,,medium,0.74303,Left,5.0,119824
217,137.0,D00-FN,,0.526296,2,,medium,0.455517,Left,3.0,122944
218,149.0,D00-PD,,0.515149,2,,high,0.42107,Left,3.0,110519
219,291.0,D00-PD,,0.876973,6,,low,0.0668486,Left,4.0,123000
220,254.0,D00-SS,,0.547034,4,,low,0.505422,Left,4.0,125121
221,158.0,D00-SS,,0.512585,2,,low,0.371049,Left,3.0,126516
222,138.0,D00-MT,,0.520361,2,,medium,0.403928,Left,3.0,121428
223,153.0,D00-SP,,0.536117,2,,low,0.36667,Left,3.0,119322
224,278.0,D00-ENG,,0.815264,6,,high,0.0792939,Left,4.0,112123
225,159.0,D00-SS,,0.597303,2,,medium,0.417487,Left,3.0,123877
226,154.0,D00-SS,,0.607358,2,,low,0.417173,Left,3.0,116127
227,310.0,,,0.732204,6,,low,0.111914,Left,4.0,114952
228,156.0,D00-MN,,0.454041,2,,medium,0.400145,Left,3.0,118492
229,280.0,D00-SP,,0.957407,6,,low,0.158427,Left,4.0,115874
230,249.0,D00-MT,,0.697713,3,,medium,0.781751,Left,5.0,119371
231,224.0,D00-FN,,0.469179,7,,medium,0.19819,Left,5.0,122758
232,160.0,D00-MT,,0.426595,2,,medium,0.3736,Left,3.0,129865
233,273.0,D00-MN,,0.850542,4,,low,0.811183,Left,5.0,120433
234,143.0,D00-ENG,,0.562405,2,,medium,0.420525,Left,3.0,129655
235,298.0,D00-SS,,0.965138,6,,low,0.0946862,Left,4.0,115706
236,239.0,D00-MT,,1.0,5,,low,0.843067,Left,6.0,115424
237,251.0,D00-MT,,0.944582,4,,medium,0.829317,Left,5.0,125406
238,160.0,D00-SS,,0.492099,2,,low,0.363487,Left,3.0,113247
239,140.0,D00-ENG,,0.536804,2,,medium,0.376617,Left,3.0,121907
240,136.0,,,0.515691,2,,low,0.368244,Left,3.0,123674
241,142.0,D00-SS,,0.538917,2,,low,0.355897,Left,3.0,127169
242,260.0,D00-SS,,0.513827,4,,medium,0.588318,Left,3.0,126524
243,290.0,D00-ENG,,0.76584,6,,medium,0.0827398,Left,5.0,126214
244,245.0,D00-SS,,0.835256,5,,low,0.829798,Left,5.0,113303
245,124.0,D00-TP,,,3,,low,,Left,,116012
246,289.0,D00-SS,,0.852163,7,,low,0.0703123,Left,4.0,112487
247,257.0,D00-FN,,1.0,5,,medium,0.886461,Left,5.0,118135
248,233.0,D00-IT,,1.0,4,,low,0.714841,Left,5.0,112968
249,269.0,D00-IT,,0.797653,6,,low,0.071595,Left,4.0,123099
250,228.0,,,0.937202,4,,low,0.745604,Left,5.0,118080
251,119.0,D00-TP,,,2,,medium,,Left,,116287
252,248.0,D00-PD,,1.0,5,,medium,0.836733,Left,5.0,122086
253,261.0,D00-FN,,0.828202,6,,medium,0.153197,Left,4.0,120176
254,218.0,D00-SS,,0.971004,4,,low,0.75095,Left,5.0,115770
255,172.0,D00-SS,,,5,,low,0.383471,Left,2.0,113487
256,270.0,D00-SP,1.0,0.822992,5,,medium,0.777664,Left,5.0,129531
257,257.0,D00-SP,,0.797304,6,,low,0.114947,Left,4.0,121175
258,128.0,D00-SS,,0.517344,2,,low,0.390653,Left,3.0,113196
259,151.0,D00-IT,,0.545662,2,,low,0.380905,Left,3.0,113595
260,145.0,D00-IT,,0.538776,2,,low,0.33669,Left,3.0,123762
261,135.0,D00-IT,,0.527794,2,,low,0.341672,Left,3.0,113326
262,304.0,D00-ENG,,0.82532,6,,low,0.115863,Left,4.0,123610
263,136.0,D00-IT,,0.546984,2,,low,0.318171,Left,3.0,128970
264,132.0,D00-ENG,,0.520296,2,,medium,0.374531,Left,3.0,128674
265,248.0,D00-SP,,1.0,5,,medium,0.700604,Left,5.0,111481
266,141.0,D00-SS,,0.529515,2,,low,0.394023,Left,3.0,119885
267,132.0,D00-SS,,0.571622,5,,low,0.301249,Left,5.0,129693
268,147.0,D00-SS,,,2,,low,0.475132,Left,3.0,122010
269,149.0,D00-SP,,0.517082,2,,low,0.428383,Left,3.0,124075
270,129.0,D00-MN,,,2,,low,0.488907,Left,3.0,110457
271,151.0,D00-SS,,0.498054,2,,low,0.385963,Left,3.0,114524
272,144.0,D00-SS,,0.576558,2,,low,0.465891,Left,3.0,119723
273,159.0,D00-PD,,0.525789,2,,medium,0.441667,Left,3.0,129013
274,156.0,D00-SS,,0.495712,2,,medium,0.485934,Left,3.0,117715
275,146.0,D00-MT,,0.519571,2,,low,0.426425,Left,3.0,113703
276,150.0,D00-SS,,0.425017,2,,low,0.481675,Left,3.0,121622
277,236.0,D00-SS,,1.0,3,,medium,0.319276,Left,4.0,126087
278,262.0,-IT,,0.901248,5,,low,0.717886,Left,5.0,117187
279,143.0,D00-FN,,0.525877,2,,medium,0.354678,Left,3.0,129025
280,244.0,D00-ENG,,0.867343,6,,medium,0.129053,Left,4.0,126377
281,249.0,D00-IT,,0.983261,4,,low,0.809117,Left,5.0,124473
282,151.0,D00-MN,,0.539141,2,,low,0.452634,Left,3.0,122410
283,271.0,D00-ENG,,0.946384,5,,low,0.934184,Left,5.0,121359
284,266.0,D00-FN,,0.904513,5,,medium,0.7857,Left,5.0,117699
285,263.0,D00-SS,,0.989693,5,,low,0.828111,Left,6.0,111203
286,242.0,D00-SP,,0.900549,5,,medium,0.820155,Left,5.0,128209
287,309.0,D00-SP,,0.875607,6,,low,0.0870366,Left,4.0,120671
288,144.0,D00-SS,,,2,,medium,0.4203,Left,3.0,115479
289,147.0,D00-ENG,,0.522608,2,,medium,0.362178,Left,3.0,118588
290,296.0,D00-AD,,0.958952,7,,low,0.166429,Left,4.0,122459
291,281.0,,,0.573619,4,,medium,0.53542,Left,6.0,124552
292,137.0,D00-ENG,,0.528545,2,,low,0.331802,Left,3.0,118352
293,159.0,D00-ENG,1.0,,2,,low,0.468977,Left,3.0,115205
294,249.0,D00-SS,,0.964928,6,,low,0.153867,Left,4.0,112184
295,154.0,D00-PD,1.0,0.525127,2,,medium,0.45113,Left,3.0,124453
296,271.0,D00-SS,,0.945909,5,,low,0.846959,Left,5.0,126134
297,253.0,D00-SS,,1.0,4,,low,0.795731,Left,5.0,128833
298,136.0,D00-SP,,0.503641,2,,medium,0.351784,Left,3.0,129933
299,269.0,D00-FN,,0.925694,5,,low,0.760691,Left,5.0,127948
300,133.0,D00-SS,,0.53334,2,,medium,0.326139,Left,3.0,118334
301,252.0,D00-IT,,0.898176,5,,low,0.896276,Left,5.0,121673
302,143.0,D00-IT,,0.505161,2,,low,0.417466,Left,3.0,114156
303,275.0,D00-SP,,0.89894,7,,low,0.0863607,Left,4.0,125723
304,264.0,D00-ENG,,0.774554,6,,low,0.110974,Left,4.0,0
305,219.0,D00-ENG,,0.976371,5,,low,0.86532,Left,5.0,111904
306,136.0,D00-PD,,0.486269,2,,medium,0.421147,Left,3.0,114440
307,263.0,D00-MT,,0.869344,6,,low,0.111513,Left,4.0,124802
308,156.0,D00-ENG,,,2,,medium,0.424762,Left,3.0,122198
309,307.0,D00-SP,,0.930352,7,,low,0.117907,Left,4.0,120828
310,274.0,D00-IT,,0.950468,4,,low,0.888559,Left,5.0,121290
311,151.0,D00-SS,,,2,,medium,0.419416,Left,3.0,126157
312,244.0,D00-ENG,,0.919524,5,,low,0.701672,Left,5.0,122835
313,148.0,D00-SP,,0.529041,2,,low,0.357894,Left,3.0,114323
314,155.0,D00-SS,,0.461114,2,,low,0.400453,Left,3.0,123938
315,127.0,D00-SP,,0.505487,2,,medium,0.338849,Left,3.0,122116
316,226.0,D00-PD,,0.860763,4,,medium,0.768132,Left,5.0,124242
317,159.0,,,0.470259,2,,high,0.455563,Left,3.0,127260
318,149.0,D00-SP,,0.525145,2,,low,0.397215,Left,3.0,121601
319,140.0,,,0.946863,5,,medium,0.13655,Left,5.0,114532
320,232.0,D00-ENG,,0.980759,4,,medium,0.825572,Left,5.0,129369
321,214.0,D00-ENG,,0.487172,4,,medium,0.306061,Left,4.0,119071
322,271.0,D00-SS,,0.93057,4,,low,0.775065,Left,5.0,124735
323,133.0,D00-ENG,,0.542964,2,,low,0.375272,Left,3.0,112477
324,225.0,D00-ENG,,0.991495,4,,low,0.912214,Left,5.0,110613
325,127.0,D00-IT,,0.470798,2,,medium,0.426591,Left,3.0,111157
326,142.0,D00-PD,,0.564768,2,,medium,0.349758,Left,3.0,110775
327,282.0,D00-ENG,,0.990687,7,,low,0.120595,Left,4.0,117091
328,180.0,D00-ENG,,0.623574,3,,medium,0.609113,Left,4.0,128215
329,136.0,D00-SS,,0.600009,2,,low,0.40412,Left,3.0,124490
330,255.0,D00-SS,,0.955329,4,,low,0.787524,Left,6.0,118605
331,300.0,D00-MN,,0.979651,7,,medium,0.166336,Left,4.0,125757
332,252.0,D00-AD,,0.888437,5,,low,0.852599,Left,5.0,112735
333,309.0,D00-SP,,0.853192,6,,low,0.102148,Left,4.0,118857
334,144.0,D00-MT,,0.464083,2,,medium,0.405598,Left,3.0,126513
335,240.0,D00-SS,,0.849425,4,,medium,0.820867,Left,5.0,129935
336,225.0,D00-SS,,0.977501,4,,medium,0.734395,Left,5.0,129829
337,159.0,D00-ENG,1.0,0.576623,2,,low,0.466212,Left,3.0,119252
338,217.0,D00-SP,,0.963093,5,,low,0.821675,Left,5.0,121519
339,245.0,D00-SS,,1.0,4,,low,0.752076,Left,5.0,117273
340,247.0,D00-ENG,,0.883274,4,,low,0.881484,Left,6.0,128675
341,293.0,D00-SS,,0.808091,6,,low,0.094254,Left,5.0,115302
342,160.0,D00-FN,,0.591197,2,,low,0.418741,Left,3.0,120659
343,275.0,D00-SP,,1.0,5,,low,0.783389,Left,5.0,119147
344,246.0,D00-SS,,0.996432,5,,low,0.875615,Left,5.0,124420
345,227.0,D00-SS,,0.830078,5,,low,0.780955,Left,5.0,111974
346,310.0,D00-SS,,0.858179,7,,medium,0.147125,Left,4.0,124512
347,282.0,D00-ENG,,0.830166,7,,low,0.137862,Left,5.0,112664
348,238.0,D00-FN,,0.595896,4,,medium,0.269952,Left,2.0,116840
349,301.0,D00-SP,,0.556134,3,,low,0.240336,Left,3.0,116177
350,142.0,D00-SS,,,2,,low,0.33687,Left,3.0,117984
351,261.0,D00-SP,,0.805149,6,,low,0.0817661,Left,4.0,111389
352,264.0,D00-FN,,0.96422,7,,medium,0.117403,Left,4.0,127340
353,233.0,D00-SS,,0.971481,4,,low,0.854863,Left,5.0,117960
354,177.0,,,0.820629,3,,medium,0.681186,Left,4.0,118239
355,236.0,D00-SS,,0.853609,4,,medium,0.816641,Left,5.0,118450
356,144.0,D00-FN,,0.453524,2,,low,0.40815,Left,3.0,128504
357,140.0,D00-ENG,,0.427874,2,,low,0.492721,Left,3.0,129522
358,268.0,D00-MT,,0.794418,6,,low,0.107563,Left,4.0,124522
359,142.0,D00-ENG,,0.40006,2,,low,0.369309,Left,3.0,127110
360,275.0,D00-PD,,0.781891,5,,medium,0.153319,Left,4.0,120955
361,307.0,D00-SS,,0.975868,6,,low,0.135755,Left,4.0,113250
362,146.0,D00-ENG,,0.557437,2,,medium,0.471105,Left,3.0,114748
363,244.0,,,0.838858,6,,medium,0.098135,Left,4.0,112923
364,255.0,D00-SS,,0.965766,4,,low,0.741425,Left,6.0,117995
