,avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id,age,gender,marital_status,dept_id,dept_name,dept_head
40,239.0,,0.927427,5,,medium,0.783737,Left,5.0,127589,24,Female,Unmarried,D00-AD,Admin,Evelyn Tolson
41,257.0,,0.990937,5,,low,0.751387,Left,6.0,123038,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
42,260.0,,1.0,5,,low,0.808455,Left,5.0,128184,23,Female,Unmarried,,,
43,125.0,,,3,,medium,,Left,,120360,24,Female,Unmarried,D00-TP,Temp,Micheal Zachrey
44,308.0,,0.736991,7,,low,0.0807958,Left,4.0,121453,49,Female,Married,D00-FN,Finance,Aanchal J
45,239.0,,0.906676,4,,low,0.737457,Left,5.0,126451,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
46,306.0,,0.830333,6,,high,0.0674799,Left,4.0,126317,30,Female,Married,D00-SS,Sales,Edward J Bayley
47,141.0,,0.462141,2,,low,0.435337,Left,3.0,120175,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
48,159.0,,,2,,high,0.375978,Left,3.0,111951,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
49,143.0,,0.512455,2,,medium,0.484244,Left,3.0,111423,25,Female,Unmarried,D00-SP,Support,Amelia Westray
50,270.0,,0.915772,5,,medium,0.871095,Left,5.0,124781,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
51,261.0,,0.832946,6,,low,0.115881,Left,4.0,114831,42,Female,Married,D00-SP,Support,Amelia Westray
52,301.0,,0.737223,4,,low,0.464158,Left,5.0,112846,25,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
53,296.0,,0.87755,7,,low,0.136835,Left,4.0,128630,33,Female,Married,D00-SS,Sales,Edward J Bayley
54,271.0,,0.891916,5,,low,0.179432,Left,4.0,120770,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
55,244.0,,0.787106,6,,low,0.113983,Left,4.0,112282,46,Female,Married,D00-MT,Marketing,Reuben Swann
56,129.0,,,2,,low,0.447517,Left,3.0,125903,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
57,290.0,,0.808025,6,,medium,0.059197,Left,4.0,129594,34,Female,Married,D00-FN,Finance,Aanchal J
58,290.0,,0.770248,6,,medium,0.0903428,Left,4.0,117772,46,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
59,249.0,,0.997662,4,,low,0.805852,Left,5.0,110508,22,Female,Unmarried,D00-SP,Support,Amelia Westray
60,151.0,,0.506563,2,,medium,0.35549,Left,3.0,112452,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
61,225.0,,0.893351,4,,medium,0.814574,Left,5.0,128219,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
62,253.0,,1.0,5,,medium,0.852952,Left,5.0,126639,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
63,269.0,,0.932009,6,,medium,0.0633131,Left,4.0,123331,47,Female,Married,D00-FN,Finance,Aanchal J
64,274.0,,0.944104,6,,low,0.159258,Left,4.0,118903,25,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
65,155.0,,0.536342,2,,low,0.43599,Left,3.0,118983,36,Female,Married,D00-MT,Marketing,Reuben Swann
66,255.0,,0.917034,7,,low,0.150519,Left,4.0,115221,33,Male,Married,D00-SP,Support,Amelia Westray
67,149.0,,0.607982,6,,low,0.471637,Left,4.0,129163,31,Female,Married,D00-PD,Product,Darcy Staines
68,271.0,,0.64205,3,,low,0.418694,Left,4.0,124226,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
69,268.0,,0.922942,6,,medium,0.0650439,Left,4.0,114776,22,Male,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
70,153.0,,,2,,low,0.455101,Left,3.0,121337,25,Female,Unmarried,,,
71,294.0,,0.587699,3,,low,0.76039,Left,4.0,119768,22,Female,Unmarried,,,
72,293.0,,0.857715,6,,low,0.141662,Left,4.0,113143,40,Female,Married,D00-SP,Support,Amelia Westray
73,309.0,,0.908443,7,,low,0.1035,Left,4.0,126535,48,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
74,235.0,,0.957642,5,,low,0.725715,Left,5.0,126561,22,Female,Unmarried,D00-IT,IT,Henry Adey
75,158.0,,0.546333,2,,low,0.391487,Left,3.0,115017,24,Female,Unmarried,D00-IT,IT,Henry Adey
76,273.0,,0.734583,3,,low,0.520728,Left,6.0,128872,22,Female,Unmarried,D00-SP,Support,Amelia Westray
77,277.0,,0.9496,2,,medium,0.723212,Left,3.0,112281,28,Male,Unmarried,D00-IT,IT,Henry Adey
78,290.0,,0.859528,7,,low,0.127906,Left,4.0,111435,38,Female,Married,D00-SS,Sales,Edward J Bayley
79,267.0,,0.801303,5,,medium,0.858963,Left,5.0,111357,25,Female,Unmarried,D00-SP,Support,Amelia Westray
80,249.0,,0.997918,4,,medium,0.811695,Left,6.0,125156,24,Female,Unmarried,D00-SP,Support,Amelia Westray
81,127.0,,0.568392,2,,low,0.455544,Left,3.0,120189,23,Female,Unmarried,D00-IT,IT,Henry Adey
82,245.0,,0.904587,4,,low,0.724119,Left,6.0,124725,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
83,198.0,1.0,0.571508,5,,low,0.63736,Left,5.0,124761,25,Female,Unmarried,D00-AD,Admin,Evelyn Tolson
84,160.0,,0.420976,2,1.0,low,0.375963,Left,3.0,113099,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
85,131.0,,0.465087,2,,low,0.465453,Left,3.0,125515,23,Female,Unmarried,D00-FN,Finance,Aanchal J
86,150.0,,0.601995,2,,low,0.44277,Left,3.0,111957,25,Female,Unmarried,D00-PD,Product,Darcy Staines
87,146.0,,0.484583,2,,low,0.471085,Left,3.0,112662,24,Female,Unmarried,D00-SP,Support,Amelia Westray
88,254.0,,0.85053,6,,low,0.0850537,Left,5.0,121651,41,Female,Married,D00-SP,Support,Amelia Westray
89,152.0,,0.506971,2,,medium,0.387467,Left,3.0,115628,22,Female,Unmarried,D00-MT,Marketing,Reuben Swann
90,151.0,,0.438951,2,,low,0.389023,Left,3.0,125676,22,Female,Unmarried,D00-PD,Product,Darcy Staines
91,135.0,,0.540937,2,,low,0.312896,Left,5.0,125999,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
92,236.0,,0.896563,5,,low,0.765251,Left,6.0,118541,25,Female,Unmarried,D00-PD,Product,Darcy Staines
93,158.0,,,2,,low,0.338341,Left,3.0,129462,24,Female,Unmarried,D00-SP,Support,Amelia Westray
94,145.0,,0.502312,2,,low,0.405199,Left,3.0,111774,49,Male,Married,D00-SS,Sales,Edward J Bayley
95,160.0,,0.508932,2,,low,0.407259,Left,3.0,124270,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
96,279.0,,0.79986,6,,low,0.0985616,Left,4.0,111233,54,Female,Married,D00-SS,Sales,Edward J Bayley
97,274.0,,0.878575,5,,medium,0.79105,Left,6.0,118361,28,Male,Unmarried,D00-SP,Support,Amelia Westray
98,296.0,,0.677557,2,,medium,0.467873,Left,5.0,114462,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
99,259.0,,0.848992,6,,medium,0.178243,Left,5.0,117092,52,Male,Married,D00-SP,Support,Amelia Westray
100,164.0,,0.714642,4,,low,0.524464,Left,2.0,116698,28,Male,Unmarried,D00-SS,Sales,Edward J Bayley
101,253.0,,0.83395,6,,medium,0.145414,Left,4.0,112773,44,Male,Married,D00-MT,Marketing,Reuben Swann
102,297.0,,0.878721,6,,high,0.104844,Left,5.0,115412,23,Male,Unmarried,D00-SS,Sales,Edward J Bayley
103,151.0,,,2,,low,0.42148,Left,3.0,111116,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
104,130.0,,0.548987,2,,medium,0.422146,Left,3.0,118046,23,Female,Unmarried,D00-SP,Support,Amelia Westray
105,258.0,,0.959213,4,,medium,0.944949,Left,5.0,111562,28,Male,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
106,140.0,,0.521566,2,,low,0.461044,Left,3.0,113738,47,Male,Married,D00-SP,Support,Amelia Westray
107,281.0,,0.99766,6,,medium,0.107146,Left,4.0,110438,31,Female,Married,D00-MN,Management,Ellie Trafton
108,156.0,,0.528929,2,,high,0.312928,Left,3.0,126579,24,Female,Unmarried,D00-FN,Finance,Aanchal J
109,153.0,,,2,,low,0.356232,Left,3.0,117468,25,Female,Unmarried,D00-FN,Finance,Aanchal J
110,223.0,,0.837597,5,,low,0.738441,Left,5.0,117159,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
111,147.0,,0.452001,2,,low,0.34499,Left,3.0,113211,51,Male,Married,D00-SP,Support,Amelia Westray
112,148.0,,0.533172,2,,low,0.36142,Left,3.0,115247,23,Male,Unmarried,D00-SS,Sales,Edward J Bayley
113,246.0,,0.944761,4,,low,0.928173,Left,5.0,129323,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
114,310.0,,0.524456,5,,medium,0.414488,Left,3.0,126390,24,Female,Unmarried,D00-PD,Product,Darcy Staines
115,137.0,,0.499013,2,,medium,0.504321,Left,3.0,110118,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
116,303.0,,0.866422,5,,medium,0.0609863,Left,5.0,116771,22,Female,Unmarried,D00-FN,Finance,Aanchal J
117,151.0,,0.522235,2,,low,0.421082,Left,3.0,123359,25,Female,Unmarried,D00-MN,Management,Ellie Trafton
118,150.0,,0.531091,2,,low,0.429583,Left,3.0,110191,24,Female,Unmarried,D00-SP,Support,Amelia Westray
119,239.0,,0.82423,4,,low,0.776066,Left,6.0,118749,25,Female,Unmarried,D00-IT,IT,Henry Adey
120,202.0,,,3,,medium,0.425503,Left,3.0,113867,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
121,279.0,,0.807814,6,,low,0.126932,Left,4.0,127553,46,Female,Married,D00-SS,Sales,Edward J Bayley
122,127.0,,0.516111,2,,low,0.357358,Left,3.0,112716,22,Female,Unmarried,D00-IT,IT,Henry Adey
123,136.0,,0.48096,2,,medium,0.401807,Left,3.0,119437,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
124,274.0,,0.574151,2,,low,0.732505,Left,4.0,112066,22,Male,Unmarried,D00-SS,Sales,Edward J Bayley
125,156.0,1.0,0.498253,2,,low,0.453624,Left,3.0,120884,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
126,261.0,,0.878444,6,,medium,0.101731,Left,4.0,126747,32,Female,Married,D00-IT,IT,Henry Adey
127,136.0,,0.53546,2,,low,0.487851,Left,3.0,113308,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
128,287.0,,0.918562,6,,low,0.142113,Left,4.0,129482,39,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
129,218.0,1.0,0.85036,4,,low,0.822958,Left,5.0,111568,39,Male,Married,D00-IT,IT,Henry Adey
130,172.0,,,5,,low,0.326353,Left,2.0,126959,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
131,305.0,,0.881748,7,,medium,0.139059,Left,4.0,126226,37,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
132,291.0,,0.819279,6,,low,0.101794,Left,4.0,121608,47,Female,Married,D00-SS,Sales,Edward J Bayley
133,246.0,,0.88409,6,,medium,0.131505,Left,4.0,115133,34,Female,Married,,,
134,243.0,,0.923938,6,,high,0.154765,Left,4.0,129924,33,Female,Married,D00-PD,Product,Darcy Staines
135,256.0,,0.962934,6,,low,0.0798577,Left,4.0,126368,30,Female,Married,D00-SP,Support,Amelia Westray
136,228.0,,0.968112,5,,low,0.75621,Left,5.0,123258,23,Female,Unmarried,D00-SP,Support,Amelia Westray
137,283.0,,0.789851,7,,low,0.128018,Left,5.0,116362,34,Male,Married,D00-ENG,Engineering,Sushant Raghunathan K
138,242.0,,0.846659,5,,medium,0.772121,Left,5.0,114759,29,Male,Unmarried,D00-SP,Support,Amelia Westray
139,245.0,,0.885296,5,,low,0.817257,Left,5.0,126986,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
140,260.0,,0.876539,5,,medium,0.872302,Left,5.0,110235,25,Female,Unmarried,D00-IT,IT,Henry Adey
141,192.0,,0.551225,7,,low,0.210584,Left,3.0,120655,46,Female,Married,D00-SS,Sales,Edward J Bayley
142,158.0,,0.547159,2,,low,0.358773,Left,3.0,119989,51,Male,Married,D00-SP,Support,Amelia Westray
143,306.0,,0.893635,6,,low,0.166866,Left,4.0,114238,27,Male,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
144,154.0,,0.889985,3,,medium,0.401073,Left,4.0,119337,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
145,298.0,,0.888568,6,,low,0.14453,Left,4.0,110133,46,Male,Married,D00-SS,Sales,Edward J Bayley
146,285.0,,0.931751,7,,low,0.0737981,Left,4.0,122457,41,Female,Married,D00-IT,IT,Henry Adey
147,260.0,,0.895906,5,,low,0.867948,Left,5.0,129990,23,Female,Unmarried,D00-SP,Support,Amelia Westray
148,159.0,,,2,,low,0.324768,Left,3.0,111738,26,Male,Unmarried,D00-PD,Product,Darcy Staines
149,156.0,,0.419956,2,,low,0.38645,Left,3.0,127703,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
150,147.0,,0.582465,2,,low,0.442294,Left,3.0,118948,23,Female,Unmarried,D00-SP,Support,Amelia Westray
151,247.0,,0.876086,5,,low,0.83846,Left,5.0,110665,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
152,246.0,1.0,0.855755,5,,medium,0.830533,Left,5.0,119980,26,Male,Unmarried,D00-SS,Sales,Edward J Bayley
153,216.0,,1.0,4,,low,0.753578,Left,6.0,129685,24,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
154,140.0,,0.530962,2,,medium,0.43994,Left,3.0,111673,24,Female,Unmarried,,,
155,247.0,,0.942873,7,,medium,0.144449,Left,4.0,128659,51,Female,Married,D00-SS,Sales,Edward J Bayley
156,280.0,,0.630177,2,,low,0.327048,Left,4.0,123252,24,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
157,265.0,,0.792833,4,,low,0.920042,Left,6.0,111351,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
158,128.0,,0.498708,2,,medium,0.423624,Left,3.0,116572,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
159,255.0,,0.894924,7,,medium,0.17525,Left,4.0,113178,31,Female,Married,D00-SP,Support,Amelia Westray
160,263.0,,1.0,4,,medium,0.829606,Left,6.0,129044,22,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
161,255.0,,0.930584,7,,medium,0.0806184,Left,4.0,115307,40,Female,Married,D00-SP,Support,Amelia Westray
162,132.0,,0.477055,2,,medium,0.495775,Left,3.0,122572,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
163,136.0,,0.529917,2,,low,0.377291,Left,3.0,111962,23,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
164,141.0,1.0,0.462154,2,,low,0.466326,Left,3.0,117757,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
165,131.0,,0.485783,2,,low,0.349181,Left,3.0,112450,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
166,296.0,,0.885543,7,,medium,0.09247,Left,4.0,123971,28,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
167,137.0,,,2,,low,0.418467,Left,3.0,111912,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
168,258.0,,0.967462,2,,low,0.667322,Left,5.0,118136,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
169,159.0,,0.544412,2,,medium,0.422724,Left,3.0,115233,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
170,129.0,,0.558944,2,,medium,0.469451,Left,3.0,123573,24,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
171,276.0,,0.752432,5,,low,0.115195,Left,4.0,122152,22,Female,Unmarried,D00-SP,Support,Amelia Westray
172,139.0,,0.585351,2,,low,0.475075,Left,3.0,111005,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
173,142.0,,,2,,low,0.447818,Left,3.0,119822,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
174,130.0,,0.484567,2,,low,0.455295,Left,3.0,128303,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
175,285.0,,0.901575,6,,low,0.131683,Left,4.0,116549,46,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
176,285.0,,0.754973,6,,medium,0.0904151,Left,4.0,123927,50,Female,Married,D00-FN,Finance,Aanchal J
177,309.0,,0.876306,6,,medium,0.101742,Left,4.0,110550,36,Female,Married,D00-SS,Sales,Edward J Bayley
178,263.0,,0.887814,4,,low,0.773491,Left,5.0,118142,22,Female,Unmarried,D00-SP,Support,Amelia Westray
179,276.0,,0.902899,6,,low,0.0961399,Left,4.0,128622,33,Female,Married,D00-SS,Sales,Edward J Bayley
180,285.0,,0.797767,7,,medium,0.125959,Left,4.0,115278,42,Male,Married,D00-IT,IT,Henry Adey
181,155.0,,0.525671,2,,low,0.381088,Left,3.0,126982,23,Female,Unmarried,D00-IT,IT,Henry Adey
182,299.0,1.0,0.819308,6,,low,0.129074,Left,4.0,128620,36,Female,Married,D00-SS,Sales,Edward J Bayley
183,158.0,,0.543576,2,,low,0.35252,Left,3.0,129181,23,Female,Unmarried,D00-SP,Support,Amelia Westray
184,270.0,,0.855482,4,,low,0.884897,Left,5.0,117890,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
185,278.0,,0.949239,6,,low,0.0938494,Left,4.0,117601,50,Female,Married,D00-MT,Marketing,Reuben Swann
186,143.0,,0.509272,2,,medium,0.429593,Left,3.0,114547,25,Female,Unmarried,,,
187,282.0,,0.676745,2,,low,0.356162,Left,5.0,112646,25,Female,Unmarried,D00-MT,Marketing,Reuben Swann
188,247.0,,0.516293,2,,medium,0.0597921,Left,4.0,113224,39,Male,Married,D00-SS,Sales,Edward J Bayley
189,158.0,,0.554521,2,,low,0.365284,Left,3.0,111135,38,Male,Married,D00-SS,Sales,Edward J Bayley
190,142.0,,,2,,medium,0.484054,Left,3.0,110364,22,Female,Unmarried,D00-SP,Support,Amelia Westray
191,151.0,,0.458269,2,,medium,0.381992,Left,3.0,120488,23,Female,Unmarried,D00-AD,Admin,Evelyn Tolson
192,247.0,,0.84342,4,,low,0.813122,Left,6.0,127020,22,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
193,255.0,,0.86191,6,,low,0.135853,Left,4.0,118213,40,Male,Married,D00-SS,Sales,Edward J Bayley
194,241.0,,0.972069,5,,medium,0.786684,Left,5.0,119615,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
195,143.0,,0.561972,2,,low,0.415942,Left,3.0,128928,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
196,290.0,,0.896066,7,,low,0.101141,Left,4.0,123853,44,Female,Married,D00-SS,Sales,Edward J Bayley
197,290.0,,0.755191,7,,low,0.080867,Left,4.0,124961,43,Female,Married,D00-MN,Management,Ellie Trafton
198,267.0,,0.828781,5,,low,0.789816,Left,5.0,116866,25,Female,Unmarried,D00-SP,Support,Amelia Westray
199,156.0,1.0,0.414742,2,,low,0.361317,Left,3.0,119040,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
200,159.0,,,2,,low,0.405428,Left,3.0,112121,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
201,160.0,,0.600898,2,,medium,0.40791,Left,3.0,113512,24,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
202,232.0,,0.960754,4,,low,0.884619,Left,5.0,117565,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
203,141.0,1.0,0.503339,2,,low,0.501475,Left,3.0,123162,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
204,139.0,,0.533964,2,,low,0.385363,Left,3.0,111800,43,Male,Married,D00-MT,Marketing,Reuben Swann
205,160.0,,0.480823,2,,low,0.398427,Left,3.0,117397,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
206,258.0,,0.950414,2,,low,0.652081,Left,5.0,110577,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
207,268.0,,0.953886,6,,low,0.169063,Left,4.0,128931,41,Female,Married,D00-SP,Support,Amelia Westray
208,134.0,,0.526204,2,,low,0.388992,Left,3.0,116217,22,Male,Unmarried,D00-SP,Support,Amelia Westray
209,148.0,,,2,,low,0.430123,Left,3.0,117262,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
210,136.0,,0.786735,5,,low,0.0878727,Left,2.0,114632,22,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
211,137.0,,0.543217,2,,medium,0.44207,Left,3.0,126341,24,Female,Unmarried,D00-IT,IT,Henry Adey
212,144.0,,0.458964,2,,medium,0.382781,Left,3.0,125586,22,Female,Unmarried,,,
213,157.0,,0.503556,2,,low,0.328297,Left,3.0,118385,22,Female,Unmarried,D00-SS,Sales,Edward J Bayley
214,280.0,,0.839185,6,,low,0.0702263,Left,4.0,121861,46,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
215,264.0,,0.96353,5,,medium,0.74303,Left,5.0,119824,25,Female,Unmarried,D00-ENG,Engineering,Sushant Raghunathan K
216,137.0,,0.526296,2,,medium,0.455517,Left,3.0,122944,23,Female,Unmarried,D00-FN,Finance,Aanchal J
217,149.0,,0.515149,2,,high,0.42107,Left,3.0,110519,53,Male,Married,D00-PD,Product,Darcy Staines
218,291.0,,0.876973,6,,low,0.0668486,Left,4.0,123000,41,Female,Married,D00-PD,Product,Darcy Staines
219,254.0,,0.547034,4,,low,0.505422,Left,4.0,125121,24,Female,Unmarried,D00-SS,Sales,Edward J Bayley
220,158.0,,0.512585,2,,low,0.371049,Left,3.0,126516,25,Female,Unmarried,D00-SS,Sales,Edward J Bayley
221,138.0,,0.520361,2,,medium,0.403928,Left,3.0,121428,25,Female,Unmarried,D00-MT,Marketing,Reuben Swann
222,153.0,,0.536117,2,,low,0.36667,Left,3.0,119322,43,Female,Married,D00-SP,Support,Amelia Westray
223,278.0,,0.815264,6,,high,0.0792939,Left,4.0,112123,41,Female,Married,D00-ENG,Engineering,Sushant Raghunathan K
224,159.0,,0.597303,2,,medium,0.417487,Left,3.0,123877,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
225,154.0,,0.607358,2,,low,0.417173,Left,3.0,116127,23,Female,Unmarried,D00-SS,Sales,Edward J Bayley
226,310.0,,0.732204,6,,low,0.111914,Left,4.0,114952,23,Male,Unmarried,,,
227,156.0,,0.454041,2,,medium,0.400145,Left,3.0,118492,22,Female,Unmarried,D00-MN,Management,Ellie Trafton
