ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
211,51,26,20,2,0,1,0,0,0,0,0,0
212,44,18,55,1,0.2,1,0,0,0,0,0,0
213,46,22,69,2,1.7,1,209,0,0,0,0,0
214,57,33,155,1,7.4,1,0,0,0,0,1,0
215,54,28,94,1,1.9,2,0,0,0,0,0,0
216,38,14,92,2,0,1,249,0,0,0,1,1
217,27,3,125,2,0.6,1,0,0,0,0,0,0
218,39,14,74,3,3,1,0,0,0,0,0,0
219,44,20,72,3,0.3,3,0,0,0,0,1,0
220,56,30,61,1,2.2,3,0,0,0,0,1,1
221,32,6,25,2,0.3,1,0,0,0,0,0,1
222,45,19,83,2,1.7,2,0,0,0,0,1,0
223,26,2,104,3,2.5,1,0,0,0,0,0,0
224,55,25,41,3,1,3,0,0,0,0,1,0
225,52,27,58,4,1.8,3,91,0,0,0,0,0
226,39,13,93,1,1.5,3,0,0,0,0,0,1
227,24,-1,39,2,1.7,2,0,0,0,0,0,0
228,47,23,148,2,7.5,1,0,0,0,1,1,1
229,47,22,53,4,1.9,3,98,0,1,1,0,1
230,48,24,71,2,1.7,1,145,0,0,0,0,1
231,47,22,92,1,2.8,2,0,0,0,0,1,0
232,35,10,61,4,2.1,3,0,0,0,0,1,0
233,46,19,38,3,2.5,2,135,0,0,0,0,0
234,62,37,58,4,1.7,1,0,0,0,0,1,0
235,26,1,80,1,0.8,2,150,0,0,0,0,0
236,38,8,71,4,1.8,3,0,0,0,0,1,0
237,43,18,89,3,0.5,3,0,0,0,0,1,1
238,62,38,83,1,1.8,3,0,0,0,0,1,0
239,57,32,28,3,0.2,1,0,0,0,0,1,1
240,28,3,52,4,1.7,2,0,0,0,0,0,0
241,51,26,70,1,1.2,1,169,0,0,0,0,0
242,48,22,71,1,1.4,3,0,0,0,0,0,1
243,41,16,75,1,3.7,3,280,0,0,0,0,0
244,65,39,170,3,7.9,3,99,1,0,1,1,0
245,41,17,78,4,0.8,1,78,0,0,0,1,0
246,35,11,25,2,1,2,0,0,0,0,0,0
247,38,14,60,2,0.6,3,0,0,0,0,1,1
248,53,29,120,4,2.7,2,111,1,1,1,1,0
249,55,29,99,2,1.4,1,264,0,0,0,1,1
250,26,1,55,3,2.6,3,113,0,0,0,0,1
251,30,6,29,3,1,2,117,0,0,0,0,0
252,54,28,170,2,6.2,2,325,1,0,0,1,0
253,65,40,53,3,2.2,1,0,0,0,0,0,1
254,47,21,138,1,0,1,0,0,0,0,0,0
255,65,41,134,3,3.9,3,121,1,0,0,1,0
256,66,40,42,2,0.7,3,138,0,0,0,0,1
257,26,0,99,4,2.3,3,0,0,0,0,0,1
258,66,41,18,3,0.5,1,0,0,0,0,0,1
259,35,9,24,4,0.3,1,0,0,0,0,1,0
260,56,30,55,1,1.4,1,77,0,0,0,1,0
261,51,27,58,1,0,1,0,0,0,0,0,1
262,42,16,111,2,1.2,3,251,1,0,0,1,0
263,49,23,33,1,0.3,3,0,0,0,1,1,1
264,27,1,74,4,1.8,2,112,0,0,0,1,1
265,45,19,38,2,0.7,1,0,0,0,0,0,0
266,49,23,23,4,0.6,3,98,0,1,0,0,0
267,63,38,61,2,1.5,1,0,0,0,0,1,0
268,47,22,81,1,2.9,1,138,0,0,0,0,0
269,64,39,129,1,2.5,1,0,0,0,0,1,0
270,43,13,33,1,0.75,3,0,0,0,0,0,0
271,60,36,63,4,2.2,1,0,0,0,0,1,0
272,40,14,70,4,1.4,2,0,0,0,0,1,0
273,29,3,45,4,0.2,1,158,0,0,0,1,1
274,41,16,65,3,0.5,3,0,0,0,0,1,0
275,30,5,74,4,2.2,1,0,0,1,0,0,1
276,49,24,50,4,1.8,3,0,0,1,0,0,0
277,30,5,22,4,0.5,3,109,0,0,0,1,0
278,29,2,30,4,1,3,0,0,0,0,0,0
279,50,26,21,4,1,1,0,0,0,0,1,0
280,39,14,155,2,3.9,1,0,0,0,0,1,0
281,33,8,64,4,2.1,3,164,0,0,0,1,0
282,57,31,65,4,2.6,3,0,0,0,0,0,1
283,34,9,71,4,0.7,3,0,0,0,0,1,0
284,61,36,40,3,0.5,2,0,0,1,0,1,0
285,44,19,69,3,0.5,3,0,0,0,0,1,0
286,40,13,69,3,2.33,2,0,0,0,0,0,0
287,51,25,45,3,0.6,2,131,0,0,0,1,0
288,37,12,62,3,0.7,2,0,0,0,0,0,1
289,44,19,172,2,4.3,3,391,1,1,1,1,0
290,42,15,24,3,1,2,0,0,0,0,1,1
291,51,25,80,1,4.9,1,0,0,0,0,0,0
292,43,16,8,3,0.67,2,88,0,0,0,1,0
293,30,5,38,4,0.8,1,129,0,0,0,1,1
294,45,19,93,4,2.6,3,0,0,0,0,0,0
295,35,9,55,1,2,1,0,0,0,0,1,0
296,60,34,64,2,1.7,3,0,0,0,0,0,1
297,34,9,122,1,0,1,0,0,0,0,1,0
298,55,25,70,3,1.4,3,0,0,0,0,1,0
299,43,19,81,2,3.2,1,0,0,0,0,0,0
300,41,15,159,1,5.5,3,0,1,0,1,1,0
301,34,9,70,4,1.3,1,0,0,1,0,0,0
302,65,39,150,2,6.9,1,196,0,0,0,0,0
303,45,21,152,2,7.5,1,0,0,0,0,1,0
304,49,25,195,4,3,1,617,1,0,0,0,0
305,48,23,22,1,0.1,1,0,0,0,0,0,0
306,60,35,22,1,1.3,1,123,0,0,0,1,0
307,55,29,79,3,0.8,1,0,0,0,0,1,1
308,42,18,33,1,1.4,3,0,0,0,0,1,0
309,32,8,128,2,4.33,1,0,0,0,1,1,1
310,62,38,91,1,3.8,1,0,0,1,0,1,0
311,57,32,39,4,0.9,1,0,0,0,0,1,1
312,52,26,121,1,7.3,1,167,0,0,0,1,0
313,36,6,21,1,0.67,3,0,0,1,0,1,0
314,34,9,41,3,2.3,1,0,0,0,0,0,1
315,63,37,45,2,0.7,3,0,0,0,0,1,0
316,24,-2,51,3,0.3,3,0,0,0,0,1,0
317,57,31,165,1,1.6,2,0,1,0,0,1,0
318,40,16,119,2,4.2,2,0,1,0,0,1,0
319,27,2,110,4,1.8,3,190,0,0,0,1,0
320,65,39,20,3,0.7,2,0,0,0,0,0,1
321,60,34,64,1,0.8,2,248,0,0,0,0,0
322,44,20,101,3,4.4,2,82,1,0,0,0,0
323,63,39,101,1,3.9,1,0,1,1,1,1,0
324,59,34,99,1,4.4,1,0,1,0,0,0,0
325,56,30,158,4,6.1,1,0,1,0,0,0,0
326,54,28,89,1,1.9,2,0,0,0,0,1,1
327,52,27,80,1,1.3,3,0,0,0,1,1,1
328,58,32,114,2,2,1,402,0,0,0,1,0
329,60,35,49,3,0.5,2,0,0,0,0,1,1
330,28,4,191,1,6.33,1,0,0,0,0,1,0
331,54,30,78,4,1,2,0,0,0,0,1,0
332,32,6,28,3,1,1,0,0,0,0,0,0
333,59,33,42,1,0.8,2,0,0,0,0,1,0
334,63,38,140,1,2.5,1,0,0,0,0,0,0
335,48,23,45,1,1.3,2,0,0,0,0,1,0
336,56,32,122,2,0.3,1,360,0,0,1,1,1
337,36,12,65,3,2.6,2,0,0,0,0,1,0
338,57,27,68,1,1.4,3,0,0,0,0,1,0
339,29,3,153,2,2,1,392,0,0,0,0,0
340,39,13,89,4,1.4,2,0,0,0,0,0,0
341,59,34,91,1,2.6,1,0,0,0,0,1,1
342,31,6,55,4,2,2,185,0,0,0,1,0
343,43,19,118,2,3.3,1,0,0,0,0,0,1
344,35,5,22,1,0.67,3,103,0,0,0,0,0
345,54,24,63,3,1.4,3,138,0,0,0,1,1
346,51,27,12,4,0.5,2,78,0,1,0,1,0
347,44,19,50,3,2.7,2,0,0,0,0,1,0
348,25,0,43,2,1.6,3,0,0,1,1,1,1
349,40,15,173,4,6.6,1,0,1,0,1,1,1
350,26,2,60,2,3,1,132,1,0,0,0,0
351,39,14,113,1,1,3,0,0,1,0,1,0
352,28,4,155,4,5.3,2,0,1,0,0,1,0
353,52,28,91,4,1,2,0,0,0,0,0,1
354,53,29,55,4,1.1,2,0,0,0,0,1,0
355,44,20,173,2,1.4,1,419,0,0,0,1,0
356,43,19,71,3,0.3,3,0,0,0,0,0,1
357,56,30,24,2,0.4,3,88,0,0,0,0,0
358,38,14,42,1,2,2,81,0,0,0,1,0
359,30,6,141,2,4.33,1,0,0,0,0,1,0
360,32,6,32,1,1.9,3,0,0,0,0,1,0
361,35,10,55,4,1.3,1,0,0,0,0,0,0
362,43,19,153,2,7.5,1,0,0,0,0,1,0
363,58,32,113,2,1.4,1,270,0,0,0,0,1
364,25,0,30,2,1.7,2,0,0,0,0,0,0
365,54,24,29,3,1,3,148,0,0,0,0,1
366,57,32,174,1,6.8,2,466,1,0,0,1,0
367,50,24,35,1,0.3,3,0,0,0,0,1,0
368,32,8,98,2,2,2,175,0,0,0,1,0
369,63,37,30,2,1,3,159,0,0,0,1,0
370,31,6,58,2,2.5,1,0,0,0,0,0,1
371,36,12,25,4,1,1,147,0,0,0,0,0
372,58,34,19,4,0.7,1,0,0,0,0,0,0
373,56,30,44,4,0.7,2,174,0,0,0,1,0
374,49,25,20,4,1,1,111,0,0,0,1,1
375,30,5,98,2,3.1,1,220,0,0,0,1,0
376,33,7,90,3,1.6,1,0,0,0,0,1,0
377,45,21,61,3,0.7,1,0,0,0,0,0,0
378,30,5,40,4,2,2,0,0,0,0,1,0
379,47,23,38,2,2.1,3,0,0,0,0,0,0
380,25,0,28,2,1.7,2,0,0,0,0,0,0
381,63,33,34,1,1.5,3,0,0,0,0,1,1
382,55,29,73,2,2.3,3,0,0,0,0,1,1
383,65,41,133,4,2,1,0,1,0,0,0,1
384,44,18,53,1,0.2,1,0,0,0,0,1,0
385,51,25,21,4,0.6,3,0,0,0,0,1,1
386,35,9,40,3,0.9,1,0,0,0,0,1,0
387,30,5,41,4,1.7,2,0,0,0,0,1,0
388,31,5,82,4,1.8,2,0,0,0,0,1,0
389,54,30,100,4,3.4,3,0,1,0,0,0,0
390,45,20,155,1,7,1,0,0,0,0,1,1
391,45,19,45,1,0.2,1,0,0,0,0,1,0
392,58,32,9,3,0.3,3,0,0,0,0,0,1
393,54,29,48,4,1.8,3,0,0,0,0,1,0
394,53,28,18,4,0.1,3,109,0,1,1,1,1
395,33,9,80,4,3.4,1,0,0,0,0,1,1
396,60,35,64,2,2.8,1,0,0,0,0,0,0
397,50,24,29,4,0.1,1,0,0,0,0,0,0
398,26,2,48,3,0.7,2,0,0,0,0,1,0
399,54,30,23,2,0.4,1,0,0,0,0,0,0
400,28,3,84,4,0.2,1,0,0,0,0,1,1
401,36,10,179,3,6.6,1,0,1,0,0,1,0
402,29,2,30,4,1.5,2,112,0,0,0,0,1
403,54,28,93,1,4.9,1,133,0,0,1,1,1
404,55,30,39,2,1.9,2,0,0,0,0,0,0
405,61,36,60,3,0.5,2,182,0,0,0,0,0
406,36,11,133,1,3.8,1,290,0,1,1,1,1
407,45,19,125,1,2.4,1,0,0,0,0,0,0
408,64,40,58,1,1.8,3,0,0,0,0,1,0
409,60,36,89,2,2.8,1,0,0,0,0,1,0
410,49,22,82,1,2.67,2,125,0,0,0,1,0
411,47,23,110,2,3.3,1,0,0,0,0,1,1
412,60,36,54,4,2.3,3,0,0,1,0,0,0
413,45,20,89,4,1.9,3,0,0,0,0,1,0
414,32,7,42,3,2.3,1,0,0,0,0,1,0
415,52,28,41,3,1.9,2,0,0,0,0,0,1
416,35,8,38,4,1,2,124,0,0,0,1,0
417,40,15,85,2,0.4,1,0,0,0,0,1,0
418,53,29,83,4,1,2,0,0,0,0,1,0
419,27,0,33,4,1,3,0,0,0,0,0,0
420,58,33,50,4,2.1,1,0,0,0,0,0,1
421,47,22,58,4,3.6,3,0,0,0,0,1,1
422,28,3,115,4,3.1,2,0,1,0,0,0,0
423,46,20,145,2,6.3,1,0,0,1,1,1,0
424,43,19,161,2,7.5,1,0,0,0,0,0,0
425,56,30,38,1,0.2,1,0,0,0,0,0,0
426,28,3,28,4,0.8,1,0,0,0,0,1,0
427,42,18,75,3,2.33,1,0,0,0,0,0,1
428,32,7,35,3,1.3,1,116,0,0,0,0,1
429,62,38,24,2,1,1,116,0,0,0,0,1
430,37,13,78,4,0.1,2,0,0,0,0,1,0
431,51,26,113,1,1.3,3,161,0,0,0,1,0
432,39,13,75,3,2.1,1,224,0,0,0,1,0
433,43,17,91,1,5.7,1,0,0,0,0,1,0
434,52,28,31,4,0.2,1,141,0,0,0,1,1
435,30,6,45,1,1.8,2,0,0,0,0,1,0
436,52,26,80,3,0.8,1,0,0,0,0,0,0
437,61,35,50,3,1.4,3,112,0,0,0,1,0
438,36,9,31,4,1,2,0,0,1,0,1,0
439,58,32,113,2,3.8,2,119,1,0,1,1,1
440,47,23,29,4,0.6,1,0,0,0,0,1,0
441,64,39,59,2,1.5,1,139,0,0,0,1,0
442,52,27,43,1,1.3,2,0,0,1,0,1,0
443,58,28,122,1,3,3,115,1,0,0,1,0
444,48,24,29,1,1,1,0,0,0,0,0,0
445,64,40,91,2,0,3,0,0,0,0,1,1
446,58,32,65,3,2.2,3,0,0,0,0,1,0
447,47,23,22,1,1,1,0,0,0,0,0,1
448,49,23,71,1,1.4,3,0,0,0,0,0,0
449,31,4,60,4,2,2,0,0,0,0,1,1
450,61,37,60,3,2,3,0,0,0,0,1,0
451,51,25,69,1,0.3,1,0,0,0,0,1,1
452,28,-2,48,2,1.75,3,89,0,0,0,1,0
453,39,13,21,3,0.2,2,0,0,0,0,0,0
454,54,28,53,4,2.8,2,0,0,1,0,0,0
455,50,24,29,3,0.9,3,0,0,0,0,0,0
456,30,4,60,4,2.2,2,0,0,0,0,1,0
457,64,39,42,3,0.5,2,116,0,0,0,1,0
458,29,3,69,3,0.3,3,0,0,0,0,0,0
459,48,24,20,1,1,1,0,0,0,0,1,1
460,35,10,200,2,3,1,458,0,0,0,0,0
461,60,36,141,2,2.1,1,0,0,0,0,1,1
462,55,30,81,2,3.7,1,0,0,1,0,0,0
463,29,4,183,3,8.3,3,0,1,0,0,1,0
464,48,22,149,2,5.5,2,0,1,1,1,1,0
465,43,19,83,4,3.6,3,0,1,0,0,0,1
466,66,42,35,1,1.9,2,172,0,0,0,1,0
467,25,0,13,2,0.9,3,0,0,0,0,1,0
468,45,20,39,1,2.4,1,0,0,0,0,0,1
469,34,10,21,1,0.5,3,0,0,0,0,1,0
470,48,23,10,2,0.7,3,0,0,0,0,1,1
471,32,6,84,4,1.8,2,0,0,0,0,0,0
472,50,24,30,4,0.1,1,161,0,0,0,1,1
473,43,19,31,4,0.3,1,156,0,0,0,1,0
474,64,39,182,1,1.2,2,547,1,0,0,1,0
475,60,34,114,2,6.9,1,0,0,0,0,1,0
476,43,19,152,3,6.1,2,0,1,0,0,0,0
477,60,34,53,1,0.8,2,0,0,1,0,0,1
478,64,39,24,4,0.4,2,78,0,0,0,1,0
479,44,20,150,2,3.3,1,0,0,0,0,0,1
480,60,36,132,2,6,1,470,0,0,0,1,1
481,54,29,68,3,1.6,3,0,0,0,0,1,1
482,33,9,53,1,1.2,1,0,0,0,0,0,1
483,56,32,173,1,4.6,2,88,1,0,1,1,0
484,29,5,30,3,1,2,0,0,0,0,0,0
485,25,1,113,2,0.2,1,0,0,0,0,1,1
486,60,34,15,1,0.8,2,0,0,0,0,1,0
487,55,30,84,2,3.7,1,304,0,1,0,1,0
488,39,13,88,4,1.4,2,0,0,0,0,1,1
489,37,13,43,3,2.8,1,0,0,0,0,1,0
490,53,28,43,2,2.1,3,0,0,0,1,1,1
491,34,10,90,2,2.7,1,0,0,0,0,1,0
492,42,18,34,4,0.3,1,104,0,1,0,1,0
493,60,36,38,4,1.3,1,0,0,0,0,1,0
494,50,24,173,1,1,1,0,0,0,0,1,1
495,41,17,160,2,8,1,0,0,0,0,1,0
496,25,0,44,4,0.6,2,0,0,0,0,1,1
497,50,24,83,2,0.4,3,0,0,0,0,1,0
498,48,22,94,4,2.6,3,0,0,0,0,1,0
499,32,8,43,1,2.1,3,0,0,0,0,0,1
500,50,25,42,3,1.7,2,0,0,0,0,1,0
501,59,33,34,2,0.3,1,0,0,0,0,0,0
